artist,track,date,danceability,energy,mood,track_id,mxm_track_id
Sandy Nelson,Teen Beat,10/19/1959,0.37,0.86,0.59,TRBIFCL12903CBA7DD,9331218
Martin Denny,Quiet Village,6/1/1959,0.8,0.27,0.46,TRRUYQN12903CB2418,1058181
Billy Grammer,Gotta Travel On,1/12/1959,0.44,0.56,0.81,TRMOJEC12903CD29C5,7724193
Elvis Presley,I Need Your Love Tonight,4/20/1959,0.49,0.7,0.96,TRHDPDW128F931F927,1911008
Connie Francis,Lipstick On Your Collar,6/29/1959,0.51,0.83,0.92,TRBNYZD128F92F3617,9791480
Dion and the Belmonts,A Teenager In Love,5/18/1959,0.48,0.24,0.44,TRLZJNM128F930E168,6693771
Ricky Nelson,Never Be Anyone Else But You,4/6/1959,0.65,0.33,0.69,TRVSJHK12903CF0AF7,665188
Bobby Rydell,We Got Love,12/7/1959,0.61,0.63,0.81,TREJBTH12903CE397D,2925489
Brook Benton,So Many Ways,11/23/1959,0.56,0.33,0.73,TRAIWFO128F92D624D,2379723
LaVern Baker,I Cried A Tear,2/23/1959,0.59,0.06,0.49,TREEVPZ12903D0732F,4753657
Clyde McPhatter,A Lover's Question,1/19/1959,0.62,0.13,0.87,TRISRQC12903CE6AE3,11162519
Freddy Cannon,Tallahassee Lassie,6/29/1959,0.42,0.88,0.88,TRDJBVR12903CBC54C,7204806
Jackie Wilson,Lonely Teardrops,2/9/1959,0.35,0.54,0.95,TRFYNIP128F931FB23,7423790
Frankie Avalon,Just Ask Your Heart,10/26/1959,0.45,0.53,0.96,TRLIBKA12903CD4B0D,9315521
Jerry Wallace,Primrose Lane,10/26/1959,0.58,0.26,0.63,TRHMTVB12903D01FF0,9771806
Fats Domino,Be My Guest,12/7/1959,0.72,0.33,0.91,TRXJYMO128F145966E,8539040
Frankie Avalon,Bobby Sox To Stockings,7/6/1959,0.48,0.19,0.46,TRKVAJV12903CD4B0B,9436547
Fabian,Turn Me Loose,5/11/1959,0.45,0.58,0.8,TRNQROO12903CD4B3D,5528798
Duane Eddy,Forty Miles Of Bad Road,7/27/1959,0.65,0.74,0.94,TRWABDT12903CE3920,3391453
Ricky Nelson,It's Late,4/6/1959,0.61,0.45,0.86,TRNZEGI128F145D0B9,665191
Paul Evans,Seven Little Girls Sitting In The Back Seat,11/9/1959,0.74,0.36,0.72,TRPSSVI12903C9F4AC,6250976
Fabian,Hound Dog Man,12/28/1959,0.57,0.87,0.77,TREZDAH12903CBA6BD,5528802
Neil Sedaka,Oh! Carol,12/7/1959,0.72,0.55,0.96,TRDCWGY128F9319B31,6611689
Connie Francis,Frankie,7/6/1959,0.53,0.5,0.68,TRELOPV128F92D8746,1235462
Ricky Nelson,Just A Little Too Much,8/17/1959,0.54,0.47,0.9,TRQMZRI128F145C96B,8921627
Conway Twitty,Danny Boy,12/7/1959,0.53,0.84,0.57,TRCDIVY128F424BD13,2651969
Frankie Avalon,A Boy Without A Girl,7/13/1959,0.58,0.41,0.78,TRCIFCO12903CBA6C1,3878685
Bobby Rydell,Kissin' Time,9/21/1959,0.65,0.83,0.96,TRBXKPC128F92D2B80,2925488
Johnny Mathis,Misty,11/30/1959,0.37,0.29,0.25,TRQZWCU12903CE8FCD,3425270
Brook Benton,Endlessly,6/8/1959,0.39,0.21,0.7,TRLFIPB12903CE39A0,2379722
Fabian,This Friendly World,12/21/1959,0.55,0.25,0.59,TRFCDIS12903CBA784,5528810
Mormon Tabernacle Choir,Battle Hymn Of The Republic,10/26/1959,0.34,0.21,0.25,TRLEYBM12903CE3964,2344005
Buddy Holly,It Doesn't Matter Anymore,3/30/1959,0.77,0.17,0.89,TRVKKUS12903D071D8,9861485
Jackie Wilson,That's Why (I Love You So),5/4/1959,0.71,0.66,0.92,TRHLCIL12903CF1733,7423792
Frankie Ford,Sea Cruise,4/6/1959,0.49,0.5,0.88,TRAGOWD12903CBA6C6,9331219
Neil Sedaka,The Diary,2/2/1959,0.32,0.36,0.61,TRBJCAO12903CF6CF6,1465626
Preston Epps,Bongo Rock,6/29/1959,0.34,0.99,0.42,TRIRLHF128F92F2C02,8939739
Paul Anka,(All Of A Sudden) My Heart Sings,2/2/1959,0.43,0.28,0.34,TRGVWJK128F930102A,8333234
Brook Benton,Thank You Pretty Baby,8/31/1959,0.49,0.8,0.82,TRMQUHE128F9335B80,6190565
Fats Domino,I'm Ready,6/8/1959,0.46,0.96,0.71,TRFDCNQ128F1459669,7399939
Dee Clark,Just Keep It Up,6/29/1959,0.47,0.77,0.58,TRAGNYU128F42246AC,7870310
Sammy Turner,Always,11/30/1959,0.64,0.57,0.83,TRFWIWQ128F9311BB3,9219687
Dee Clark,Hey Little Girl,9/21/1959,0.67,0.8,0.96,TRECBQX128F92F13DE,7079669
